shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20093,39.818079,-86.124227,480001
20093,39.818080,-86.124053,480002
20093,39.818088,-86.122864,480003
20093,39.818095,-86.121668,480004
20093,39.818097,-86.121168,480005
20093,39.818097,-86.121168,490001
20093,39.818101,-86.120255,490002
20093,39.818101,-86.120255,500001
20093,39.818102,-86.120073,500002
20093,39.818103,-86.118937,500003
20093,39.818103,-86.118361,500004
20093,39.818103,-86.118343,500005
20093,39.818103,-86.118343,510001
20093,39.818108,-86.116890,510002
20093,39.818108,-86.116890,520001
20093,39.818109,-86.116702,520002
20093,39.818118,-86.115185,520003
20093,39.818118,-86.115185,530001
20093,39.818118,-86.115046,530002
20093,39.818122,-86.113391,530003
20093,39.818123,-86.112359,530004
20093,39.818123,-86.112359,540001
20093,39.818124,-86.112184,540002
20093,39.818133,-86.109892,540003
20093,39.818133,-86.109731,540004
20093,39.818133,-86.109731,550001
20093,39.818134,-86.109525,550002
20093,39.818138,-86.108546,550003
20093,39.818138,-86.108546,560001
20093,39.818138,-86.108382,560002
20093,39.818142,-86.107567,560003
20093,39.818144,-86.107036,560004
20093,39.818144,-86.107036,570001
20093,39.818144,-86.107036,570002
20093,39.818146,-86.105712,570003
20093,39.818155,-86.104509,570004
20093,39.818155,-86.104509,580001
20093,39.818157,-86.104288,580002
20093,39.818162,-86.102871,580003
20093,39.818162,-86.102871,590001
20093,39.818163,-86.102668,590002
20093,39.818173,-86.101398,590003
20093,39.818185,-86.100290,590004
20093,39.818185,-86.100290,600001
20093,39.818186,-86.100148,600002
20093,39.818196,-86.099030,600003
20093,39.818204,-86.098069,600004
20093,39.818204,-86.098069,610001
20093,39.818205,-86.097902,610002
20093,39.818229,-86.096670,610003
20093,39.818231,-86.095349,610004
20093,39.818231,-86.095349,620001
20093,39.818232,-86.095182,620002
20093,39.818236,-86.094904,620003
20093,39.818251,-86.093762,620004
20093,39.818257,-86.092697,620005
20093,39.818257,-86.092697,630001
20093,39.818258,-86.092594,630002
20093,39.818277,-86.091120,630003
20093,39.818286,-86.090387,630004
20093,39.818286,-86.090387,640001
20093,39.818289,-86.090163,640002
20093,39.818299,-86.088945,640003
20093,39.818312,-86.087892,640004
20093,39.818312,-86.087892,650001
20093,39.818314,-86.087717,650002
20093,39.818324,-86.086357,650003
20093,39.818339,-86.085129,650004
20093,39.818339,-86.085129,660001
20093,39.818340,-86.084994,660002
20093,39.818356,-86.083606,660003
20093,39.818356,-86.083186,660004
20093,39.818356,-86.083186,670001
20093,39.818354,-86.081900,670002
20093,39.818347,-86.080348,670003
20093,39.818347,-86.080348,680001
20093,39.818347,-86.080177,680002
20093,39.818348,-86.078896,680003
20093,39.815532,-86.078850,680004
20093,39.815531,-86.078320,680005
20094,39.769900,-86.157677,10001
20094,39.769908,-86.157989,10002
20094,39.769920,-86.158680,10003
20094,39.769920,-86.158680,20001
20094,39.769923,-86.158893,20002
20094,39.769930,-86.159185,20003
20094,39.769944,-86.159797,20004
20094,39.769952,-86.159964,20005
20094,39.769983,-86.161604,20006
20094,39.769286,-86.161635,20007
20094,39.768907,-86.161650,20008
20094,39.768907,-86.161650,30001
20094,39.768588,-86.161662,30002
20094,39.767891,-86.161693,30003
20094,39.767149,-86.161719,30004
20094,39.765708,-86.161773,30005
20094,39.765666,-86.159944,30006
20094,39.765627,-86.158144,30007
20094,39.765606,-86.157237,30008
20094,39.765593,-86.156675,30009
20094,39.765593,-86.156675,40001
20094,39.765586,-86.156329,40002
20094,39.765558,-86.155123,40003
20094,39.765544,-86.154518,40004
20094,39.765810,-86.154510,40005
20094,39.766244,-86.154495,40006
20094,39.766985,-86.154468,40007
20094,39.767727,-86.154441,40008
20094,39.768424,-86.154414,40009
20094,39.768718,-86.154403,40010
20094,39.768718,-86.154403,50001
20094,39.769127,-86.154387,50002
20094,39.769822,-86.154360,50003
20094,39.770522,-86.154333,50004
20094,39.771031,-86.154313,50005
20094,39.771031,-86.154313,60001
20094,39.771219,-86.154306,60002
20094,39.771444,-86.154297,60003
20094,39.771917,-86.154279,60004
20094,39.772372,-86.154261,60005
20094,39.772372,-86.154261,70001
20094,39.772619,-86.154252,70002
20094,39.773320,-86.154225,70003
20094,39.773627,-86.154213,70004
20094,39.773735,-86.154208,70005
20094,39.773735,-86.154208,80001
20094,39.774017,-86.154198,80002
20094,39.774717,-86.154171,80003
20094,39.775412,-86.154143,80004
20094,39.775391,-86.153236,80005
20094,39.775373,-86.152332,80006
20094,39.775859,-86.152313,80007
20094,39.775859,-86.152313,90001
20094,39.776677,-86.152281,90002
