stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10433,10433,"Sutherland Ave & Private",,  39.814258, -86.140841,,,0,
10434,10434,"Sutherland Ave & Guilford Ave",,  39.815425, -86.139279,,,0,
10435,10435,"Sutherland Ave & Winthrop Ave",,  39.815865, -86.137705,,,0,
10436,10436,"Sutherland Ave & 34th St",,  39.817896, -86.134561,,,0,
10437,10437,"34th St & Hovey St",,  39.817996, -86.132767,,,0,
10438,10438,"34th St & Ralston Ave",,  39.818005, -86.131276,,,0,
10439,10439,"34th St & Schofield Ave",,  39.818036, -86.129798,,,0,
10440,10440,"34th St & Orchard Ave",,  39.818029, -86.127915,,,0,
10441,10441,"34th St & Caroline Ave",,  39.818040, -86.125975,,,0,
10442,10442,"34th St & Baltimore Ave",,  39.818055, -86.124227,,,0,
10444,10444,"34th St & Keystone Ave",,  39.818062, -86.121169,,,0,
10445,10445,"34th St & Tacoma Ave",,  39.818076, -86.120254,,,0,
10446,10446,"34th St & Temple Ave",,  39.818081, -86.118343,,,0,
10447,10447,"34th St & Rural St",,  39.818076, -86.116890,,,0,
10448,10448,"34th St & Oxford St",,  39.818090, -86.115185,,,0,
10450,10450,"34th St & Dearborn St",,  39.818088, -86.112358,,,0,
10451,10451,"34th St & Houston St",,  39.818103, -86.109731,,,0,
10452,10452,"34th St & Adams St",,  39.818116, -86.108546,,,0,
10453,10453,"34th St & Olney St",,  39.818138, -86.107033,,,0,
10455,10455,"34th St & Station St",,  39.818139, -86.104509,,,0,
10456,10456,"34th St & Sherman Dr",,  39.818137, -86.102871,,,0,
10457,10457,"34th St & Chester Ave",,  39.818161, -86.100290,,,0,
10458,10458,"34th St & Forest Manor Ave",,  39.818174, -86.098069,,,0,
10460,10460,"34th St & Colorado Ave",,  39.818204, -86.095349,,,0,
10461,10461,"34th St & Euclid Ave",,  39.818233, -86.092697,,,0,
10463,10463,"34th St & Arthington Blvd",,  39.818255, -86.090387,,,0,
10465,10465,"34th St & Dequincy St",,  39.818283, -86.087892,,,0,
10466,10466,"34th St & Bancroft St",,  39.818312, -86.085129,,,0,
10469,10469,"34th St & Emerson Ave",,  39.818344, -86.083186,,,0,
10470,10470,"34th St & Butler Ave",,  39.818332, -86.080348,,,0,
10471,10471,"34th St & Downey Ave",,  39.818316, -86.077867,,,0,
10472,10472,"34th St & Layman Ave",,  39.818330, -86.073310,,,0,
10473,10473,"34th St - 5851 E",,  39.818310, -86.067980,,,0,
10474,10474,"34th St & Arlington Ave",,  39.818293, -86.064214,,,0,
10475,10475,"34th St - 6600 E",,  39.818342, -86.058625,,,0,
10476,10476,"34th St - 6700 E",,  39.818357, -86.054944,,,0,
10477,10477,"34th St & Elizabeth St",,  39.818375, -86.052783,,,0,
10478,10478,"34th St & Edmondson Ave",,  39.818381, -86.051028,,,0,
10479,10479,"34th St & Shadeland Ave",,  39.818380, -86.046421,,,0,
10480,10480,"Shadeland Ave & 32nd St",,  39.816040, -86.045921,,,0,
10481,10481,"Shadeland Ave - 3100 N",,  39.813731, -86.045894,,,0,
10482,10482,"30th St & Shadeland Ave",,  39.811004, -86.044505,,,0,
10483,10483,"30th St & Elmhurst Dr",,  39.811029, -86.040091,,,0,
10484,10484,"30th St & Richardt Av",,  39.811034, -86.035011,,,0,
10485,10485,"30th St & Enterprise St",,  39.811096, -86.031940,,,0,
10486,10486,"30th St & Huber St",,  39.811061, -86.029935,,,0,
10487,10487,"30th St & Franklin Rd",,  39.811089, -86.026266,,,0,
10488,10488,"30th St & Private Dr",,  39.811170, -86.024144,,,0,
10489,10489,"30th St & Tobey Dr",,  39.811198, -86.018517,,,0,
10490,10490,"30th St & Routiers Ave",,  39.811274, -86.014174,,,0,
10491,10491,"30th St & Private Dr",,  39.811262, -86.011942,,,0,
10515,10515,"Post Rd & 30th St",,  39.811823, -86.009610,,,0,
10517,10517,"33rd St & Post Rd",,  39.816705, -86.010389,,,0,
10519,10519,"33rd St & Mesilla Ct",,  39.816649, -86.015266,,,0,
10520,10520,"33rd St & Raton Ct",,  39.816598, -86.017807,,,0,
10521,10521,"33rd St - Crossroads",,  39.816545, -86.022531,,,0,
10522,10522,"33rd St & Franklin Rd",,  39.816488, -86.025845,,,0,
